Accession,Palmitic_acid,Stearic_acid,Oleic_acid,Linoleic_acid,Alpha_linoleic_acid,Protein ,Sesamin ,Sesamolin ,Oil,PHE,CNU,BNU,DIA,PAL,DBI,DSW,HIN,TSW,FLO,MAT,FTM,CLE,CWI,CNLA,NLC,Cluster_old,Cluster
T076,9.733632981,4.450502892,36.2008621,49.32395093,0.2910511,24.27272409,4.658100907,0.828697041,52.09316966,150.3,199.1,8.1,16.57,76.9,437,52.83,0.121714976,2.8365791,39.5,107.5,68,24.8,7,2,4,Cluster 3,Cluster3
T077,8.846654768,5.378418793,44.17538951,41.39694178,0.202595147,25.63040726,9.58617266,3.119002673,47.40451572,160.2222222,123.5555556,6.666666667,15.31111111,88.55555556,316.75,28.3,0.082387191,2.794556527,56,95,39,21.6,7.6,1,4,Cluster 2,Cluster2
T082,9.869465063,4.944970566,37.82953673,47.13590991,0.220117737,23.23836657,7.338221534,1.821026531,53.09697162,161.6666667,114.5,6.333333333,18.03333333,36,468.5,11.7,0.024973319,2.3041798,58,98.5,40.5,22.8,7.04,1,4,Cluster 3,Cluster3
T089,8.374835213,5.170645965,41.87417607,44.41189395,0.168448806,21.58142947,4.571322308,0.842951357,55.07231188,169.8,155.1,7.1,14.59,84.8,207.5,19.3,0.093012048,3.39951255,45,113.5,68.5,26.8,8.12,1,4,Cluster 3,Cluster3
T110,8.637886402,4.389371098,35.31673519,51.25628141,0.399725902,22.42056856,5.352871456,1.960500737,56.16638796,153.75,100.125,7.625,16.2,65.5,289,25.675,0.082674419,2.359793734,49,101,52,19.8,8.44,1,4,Cluster 3,Cluster3
T121,9.586988304,5.657894737,37.92763158,46.36330409,0.464181287,27.50919214,6.764831658,2.196944118,49.73211472,180.5714286,164.4285714,6.857142857,21.7,42.5,408.5,28.29,0.040146879,1.875623175,50.5,98,47.5,22.5,6.15,1,4,Cluster 3,Cluster3
T134,10.30939562,5.251383939,36.03928111,47.96769546,0.432243877,23.17238502,5.113892621,1.12387321,55.22995099,199,127.6,5.4,22.9,43.625,363.5,26.1,0.071117166,2.365461957,71,117.5,46.5,27,7.55,1,4,Cluster 3,Cluster3
T137,10.01030852,5.205802224,36.56210883,47.94565938,0.276121051,25.07572592,5.077262101,1.065235863,54.7211197,151.25,234,5.875,18.5375,65.75,376,51.535,0.132577938,2.694084257,70.5,115.5,45,22,8.02,3,4,Cluster 3,Cluster2
T139,9.562139155,5.255172995,35.00358211,49.82932277,0.349782966,27.35761659,4.805209219,1.526233301,52.19496789,219.2,130,5.8,22.42,59.71428571,483,13.825,0.047619048,2.45526328,73,114.5,41.5,25.66666667,7.5,1,4,Cluster 3,Cluster3
T148,8.821595858,5.711233462,36.90935985,48.08940751,0.46840332,25.03997055,5.590989081,2.327275546,53.09771747,181.2222222,89.88888889,3,18.91111111,59.6,484,11.985,0.039669421,1.98819673,50,100.5,50.5,23.25,7.125,1,4,Cluster 3,Cluster3
T149,10.19926199,5.380073801,37.61623616,46.46863469,0.335793358,27.92828685,5.646784364,1.030729241,50.03145313,173,66.875,2.125,12.65,70.8,264,23.6,0.089393939,2.34047227,69,122.5,53.5,26.33333333,8.066666667,1,4,Cluster 2,Cluster3
T170,9.977442304,6.116605934,41.3196252,42.2653132,0.321013361,25.92516143,3.776204554,1.753451052,47.18958399,168.7,149.1,7.5,13.87,66.3,282,12.8,0.045390071,2.451150807,71,123,52,22.6,7.34,1,4,Cluster 2,Cluster3
T210,10.19565882,6.814429838,40.09171507,42.59553653,0.302659737,23.66666667,3.958336139,0.817409,56.85534591,158.125,117.125,6.5,13,79.77777778,180.5,24.59,0.109141274,2.66202802,60.5,116.5,56,24.5,7.775,1,4,Cluster 2,Cluster3
T214,8.444842073,5.099579897,42.82713552,43.16555158,0.462890929,26.94482325,3.306909475,1.12341867,52.18713941,147,135.4,5.1,16.52,80.5,282.5,41.3,0.1652,2.989971784,65,105.5,40.5,27,8.5,3,4,Cluster 2,Cluster2
T218,8.443960108,5.253946239,39.75959316,46.23208507,0.310415428,24.54156224,3.480842542,2.84100995,54.29197995,162.125,77.625,2.25,14.4125,51.8,238,12.09,0.049159664,2.0607122,73,116.5,43.5,23.66666667,11.43333333,1,4,Cluster 2,Cluster3
T219,8.607916172,5.157382015,41.37775777,44.34120585,0.515738201,24.514492,4.117658525,1.670648949,53.25939102,179.8,136.7,7.3,16.64,67.6,414,17.7,0.042753623,2.869533177,69,120.5,51.5,24.8,7.68,1,4,Cluster 3,Cluster3
T232,9.312415093,5.407774223,36.9209869,47.87238705,0.486436741,26.98861262,2.094557854,1.735870285,50.62682825,192.9,113.2,3.9,16.21,61.8,268,22.5,0.083955224,2.461829344,47,109.5,62.5,22,6.92,1,4,Cluster 3,Cluster3
